毛	け		fur, hair, wool
検証2	けんしょう	裁判官や捜査機関が、直接現場の状況や人・物を観察して証拠調べをすること。「現場―」「実地―」	〔証拠物件などの取り調べ〕(an) inspection
謙譲	けんじょう	へりくだりゆずること。自分を低めることにより相手を高めること。また、控えめであるさま。謙遜 (けんそん) 。「ーの美徳」	modesty; humility
謙譲語	けんじょうご	敬語の一。話し手が、自分または自分の側にあると判断されるものに関して、へりくだった表現をすることにより、相対的に相手や話中の人に対して敬意を表すもの。特別の語を用いる場合（「わたくし」「うかがう」「いただく」など）、接辞を付加する場合（「てまえども」など）、補助動詞などの敬語的成分を添える場合（「お..する」など）がある。	modest speak
建設	けんせつ		construction, establishment
健全	けんぜん		health, soundness, wholesome
謙遜	けんそん		humble, humility, modesty
見地	けんち		point of view
建築	けんちく		construction, architecture
県庁	けんちょう		prefectural office
見当	けんとう		be found, aim, mark, estimate, guess, approximation, direction,
検討	けんとう	よく調べ考えること。種々の面から調べて、良いか悪いかを考えること。「ーを重ねる」「問題点をーする」	consideration, examination, investigation, study, scrutiny
顕微鏡	けんびきょう		microscope
見物	けんぶつ		sightseeing, see, look at
憲法	けんぽう	国家の統治権・統治作用に関する根本原則を定める基礎法。他の法律や命令で変更することのできない国の最高法規。近代諸国では多く成文法の形をとる。→日本国憲法 →大日本帝国憲法	constitution
拳法	けんぽう	こぶしによる突きや打ち、あるいは足による蹴りを主とした格闘術。中国で古代から発達し、日本には江戸時代初め陳元贇 (ちんげんぴん) らによって伝えられた。「少林寺―」	a Chinese martial art; 〔広い意味で〕kung fu
賢明	けんめい		wisdom, intelligence, prudence
懸命	けんめい	力のかぎり努めるさま。全力をつくすさま。精一杯。「―な努力」「―にこらえる」「一生―」	hard; eagerness; strenuous
倹約	けんやく		thrift, economy, frugality
兼用	けんよう		multi-use, combined use, combination, serving two purposes
権利	けんり	一定の利益を自分のために主張し、また、これを享受することができる法律上の能力。私権と公権とに分かれる。「店のーを譲る」<->義務。->ライツ（rights）	right, privilege
権力	けんりょく		power, authority, influence
