アメリカ合衆国	アメリカがっしゅうこく	通称アメリカ、50の州及び連邦区から成る連邦共和国である。
比律賓	ふぃりぴん	東南アジアに位置する共和制国家である。島国であり、フィリピン海を挟んで日本、ルソン海峡を挟んで台湾地区、スールー海を挟んでマレーシア、セレベス海を挟んでインドネシア、南シナ海を挟んでベトナムと対する。比、菲と略される。
菲律賓	ふぃりぴん	東南アジアに位置する共和制国家である。島国であり、フィリピン海を挟んで日本、ルソン海峡を挟んで台湾地区、スールー海を挟んでマレーシア、セレベス海を挟んでインドネシア、南シナ海を挟んでベトナムと対する。比、菲と略される。
仏国	ふっこく	仏（佛）と略されることが多い。フランスの日本での略称のひとつ。
勃牙利	ぶるがりあ	通称ブルガリアは、東ヨーロッパの共和制国家である。 バルカン半島に位置し、北にルーマニア、西にセルビア、マケドニア共和国、南にギリシャ、トルコと隣接し、東は黒海に面している。首都はソフィア。
伯剌西爾	ぶらじる	伯と略される。通称ブラジルは、南アメリカに位置する連邦共和制国家である。
米国	べいこく	通称アメリカ、50の州及び連邦区から成る連邦共和国である。
白耳義	べるぎー	白と略される。西ヨーロッパに位置する連邦立憲君主制国家。隣国のオランダ、ルクセンブルクと合わせてベネルクスと呼ばれる。
波蘭	ぽーらんど	波と略記される。通称ポーランドは、中央ヨーロッパに位置する共和制国家。
葡萄牙	ぽるとがる	葡と略される。通称ポルトガルは、西ヨーロッパのイベリア半島に位置する共和制国家である。
馬来西亜	まれいしあ	馬と略す。東南アジアのマレー半島南部とボルネオ島北部を領域とする連邦立憲君主制国家で、イギリス連邦加盟国である。
墨西哥	めきしこ	略して墨。通称メキシコは、北アメリカ南部に位置する連邦共和制国家である。
蒙古	もうこ	モンゴル高原に居住する遊牧民や、彼らが居住する地域についての自称モンゴルに対する、中国語による音写の一種。鎌倉時代では、「もうこ」と共に「むくり」や「むこ」などとも呼んでいた。
羅馬尼亜	るーまにあ	ルーマニアは、東ヨーロッパに位置する共和制国家。
露西亜	ろしあ	略称は露。ロシアはユーラシア大陸北部の国である
魯西亜	ろしあ	略称は露。ロシアはユーラシア大陸北部の国である
露西亞	ろしあ	略称は露。ロシアはユーラシア大陸北部の国である
